	monster_n	ancient	set	slot	grade	level	m_t	m_v	i_t	i_v	sub_res	sub_cdmg	sub_atkf	sub_acc	sub_atkp	sub_defp	sub_deff	sub_hpp	sub_hpf	sub_spd	sub_crate	quality	tot_sum_norm	tot_min_norm	tot_max_norm	is_odd	tier	num_powerup_incsub_left	sell
1179	Inventory	False	Energy	6	6	0	ATK%	11	HP%	8			16.0			6.0			357.0			Hero	2.626	4.6259999999999994	6.6259999999999994	False	C	3.0	True
1229	Inventory	False	Fatal	3	6	0	DEF flat	22		0						6.0		5.0	301.0			Hero	1.7763333333333333	3.7763333333333335	5.7763333333333335	True	B	3.0	True
1230	Inventory	False	Fatal	4	6	0	ATK%	11		0			20.0	8.0							5.0	Hero	2.3333333333333335	4.333333333333334	6.333333333333334	False	B	3.0	True
1231	Inventory	False	Fatal	4	6	0	DEF%	11	DEF flat	20				5.0							5.0	Rare	1.9583333333333335	3.9583333333333335	5.958333333333334	False	B	2.0	True
1232	Inventory	False	Fatal	5	6	0	HP flat	360		0					5.0						5.0	Rare	1.4583333333333335	3.4583333333333335	5.458333333333334	True	B	2.0	True
1207	Inventory	False	Focus	1	6	0	ATK flat	22	CDmg	7								5.0	162.0			Rare	1.841	3.841	5.841	True	B	2.0	True
1208	Inventory	False	Focus	1	6	0	ATK flat	22	CDmg	5	5.0							8.0				Rare	2.3392857142857144	4.339285714285714	6.339285714285714	True	B	2.0	True
1209	Inventory	False	Focus	1	6	0	ATK flat	22		0	5.0	5.0										Rare	1.3392857142857144	3.3392857142857144	5.339285714285714	True	B	2.0	True
1211	Inventory	False	Focus	4	6	0	CDmg	11	ACC	7						6.0	11.0				5.0	Hero	2.7333333333333334	4.733333333333333	6.733333333333333	False	B	3.0	True
1215	Inventory	False	Focus	5	6	0	HP flat	360	ACC	6		7.0				8.0						Rare	2.75	4.75	6.75	True	B	2.0	True
1182	Inventory	False	Guard	1	6	0	ATK flat	22	CRate	4					7.0				332.0			Rare	1.9843333333333333	3.9843333333333333	5.984333333333334	True	C	2.0	True
1183	Inventory	False	Guard	1	6	0	ATK flat	22	CDmg	7				8.0				6.0	144.0			Hero	2.942	4.942	6.942	True	C	3.0	True
1184	Inventory	False	Guard	3	6	0	DEF flat	22		0		4.0		4.0								Rare	1.0714285714285714	3.071428571428571	5.071428571428571	True	C	2.0	True
1185	Inventory	False	Guard	4	6	0	CDmg	11	HP flat	319			16.0								5.0	Rare	1.6586666666666667	3.658666666666667	5.658666666666667	False	C	2.0	True
1186	Inventory	False	Guard	4	6	0	CRate	7	HP%	5				5.0		8.0						Rare	2.25	4.25	6.25	False	C	2.0	True
1188	Inventory	False	Guard	5	6	0	HP flat	360	DEF flat	17								7.0			5.0	Rare	2.1333333333333333	4.133333333333333	6.133333333333333	True	C	2.0	True
1206	Inventory	True	Rage	5	5	0	HP flat	270	RES	6			14.0								4.0	Rare	1.7666666666666666	3.7666666666666666	5.766666666666667	True	B	2.0	True
1258	Inventory	False	Revenge	2	6	0	DEF%	11		0	7.0						17.0				6.0	Hero	2.3	4.3	6.3	False	B	3.0	True
1260	Inventory	False	Revenge	4	6	0	DEF%	11	CRate	4	4.0						15.0					Rare	1.5416666666666665	3.5416666666666665	5.541666666666666	False	B	2.0	True
1252	Inventory	False	Shield	1	6	0	ATK flat	22	HP flat	182	6.0				7.0						6.0	Hero	2.8676666666666666	4.867666666666667	6.867666666666667	True	B	3.0	True
1253	Inventory	False	Shield	1	6	0	ATK flat	22	CRate	6	4.0	6.0										Rare	2.357142857142857	4.357142857142858	6.357142857142858	True	B	2.0	True
1254	Inventory	False	Shield	1	6	0	ATK flat	22	HP flat	167	6.0				5.0							Rare	1.5976666666666666	3.5976666666666666	5.597666666666667	True	B	2.0	True
1255	Inventory	False	Shield	1	6	0	ATK flat	22		0		4.0			8.0							Rare	1.5714285714285714	3.571428571428571	5.571428571428571	True	B	2.0	True
1256	Inventory	False	Shield	5	6	0	HP flat	360		0	8.0	4.0	14.0									Hero	1.9214285714285715	3.9214285714285717	5.921428571428572	True	B	3.0	True
1257	Inventory	False	Shield	6	6	0	DEF%	11	SPD	4					5.0				271.0			Rare	2.3196666666666665	4.3196666666666665	6.3196666666666665	False	B	2.0	True
1189	Inventory	False	Swift	1	6	0	ATK flat	22		0								8.0	283.0			Rare	1.3773333333333333	3.3773333333333335	5.3773333333333335	True	A	2.0	True
1190	Inventory	False	Swift	1	6	0	ATK flat	22		0	7.0							5.0			5.0	Hero	2.3333333333333335	4.333333333333334	6.333333333333334	True	A	3.0	True
1191	Inventory	False	Swift	1	6	0	ATK flat	22	HP%	7				8.0	5.0							Rare	2.5	4.5	6.5	True	A	2.0	True
1194	Inventory	False	Swift	2	6	0	ATK%	11	HP flat	166		4.0				5.0						Rare	1.4177619047619048	3.417761904761905	5.417761904761905	False	A	2.0	True
1195	Inventory	False	Swift	3	6	0	DEF flat	22		0				8.0		6.0		7.0				Hero	2.625	4.625	6.625	True	A	3.0	True
1196	Inventory	False	Swift	3	6	0	DEF flat	22		0						7.0			313.0			Rare	1.2923333333333333	3.2923333333333336	5.292333333333334	True	A	2.0	True
1198	Inventory	False	Swift	4	6	0	HP%	11		0		4.0				7.0						Rare	1.4464285714285714	3.446428571428571	5.446428571428571	False	A	2.0	True
1199	Inventory	False	Swift	4	6	0	ATK%	11	RES	5						7.0					5.0	Rare	2.3333333333333335	4.333333333333334	6.333333333333334	False	A	2.0	True
1202	Inventory	False	Swift	6	6	0	DEF%	11	CRate	5	5.0			4.0			12.0					Hero	2.2583333333333333	4.258333333333333	6.258333333333333	False	A	3.0	True
1200	Inventory	False	Swift	4	5	0	HP%	8		0			13.0			5.0						Rare	0.95	2.95	4.95	False	A	2.0	True
1201	Inventory	False	Swift	5	5	0	HP flat	270		0		4.0		7.0		7.0						Hero	2.321428571428571	4.321428571428571	6.321428571428571	True	A	3.0	True
1242	Inventory	False	Violent	3	6	0	DEF flat	22		0		5.0		4.0					195.0			Hero	1.4742857142857142	3.474285714285714	5.474285714285714	True	S	3.0	True
1246	Inventory	False	Violent	3	6	0	DEF flat	22		0				5.0				6.0				Rare	1.375	3.375	5.375	True	S	2.0	True
1247	Inventory	False	Violent	4	6	0	HP%	11	ATK flat	14						8.0	20.0				6.0	Hero	2.85	4.85	6.85	False	S	3.0	True
1248	Inventory	False	Violent	5	6	0	HP flat	360	HP%	5		7.0									6.0	Rare	2.625	4.625	6.625	True	S	2.0	True
483	Inventory	False	Violent	6	6	9	ATK%	38	CRate	6	6.0	18.0	14.0									Rare	4.671428571428572	5.171428571428572	5.671428571428572	False	S	0.0	True
484	Inventory	False	Violent	6	6	9	ATK%	38	SPD	5	6.0					20.0	19.0					Rare	5.391666666666667	5.891666666666667	6.391666666666667	False	S	0.0	True
485	Inventory	False	Violent	6	6	9	ATK%	38	SPD	6		6.0	13.0			21.0						Rare	5.807142857142857	6.307142857142857	6.807142857142857	False	S	0.0	True
486	Inventory	False	Violent	6	6	9	ATK%	38	HP flat	320	15.0	11.0									5.0	Hero	4.706428571428572	5.206428571428572	5.706428571428572	False	S	0.0	True
487	Inventory	False	Violent	6	6	9	ATK%	38		0		13.0	15.0					19.0				Hero	4.607142857142858	5.107142857142858	5.607142857142858	False	S	0.0	True
488	Inventory	False	Violent	6	6	6	DEF%	29	SPD	5			41.0								4.0	Rare	3.3583333333333334	4.358333333333333	5.358333333333333	False	S	0.0	True
489	Inventory	False	Violent	6	6	9	ATK%	38	CDmg	7						13.0			622.0		12.0	Hero	5.4543333333333335	5.9543333333333335	6.4543333333333335	False	S	0.0	True
494	Inventory	False	Violent	6	6	12	ATK%	47		0		12.0		8.0			10.0			8.0		Rare	5.6309523809523805	5.6309523809523805	5.6309523809523805	False	S	0.0	True
495	Inventory	False	Violent	6	6	9	DEF%	38	HP flat	209				12.0	17.0			8.0				Hero	4.903666666666667	5.403666666666667	5.903666666666667	False	S	0.0	True
503	Inventory	False	Violent	6	6	9	ATK%	38		0	4.0		51.0							12.0		Hero	5.775	6.275	6.775	False	S	0.0	True
504	Inventory	False	Violent	6	6	9	ATK%	38	CRate	6			24.0			8.0	43.0					Hero	3.6750000000000003	4.175000000000001	4.675000000000001	False	S	0.0	True
509	Inventory	False	Violent	6	6	12	ATK%	47	CDmg	7			16.0	24.0				6.0			4.0	Rare	5.816666666666667	5.816666666666667	5.816666666666667	False	S	0.0	True
511	Inventory	False	Violent	6	6	13	DEF%	50		0	8.0		17.0		7.0			27.0				Hero	5.675	5.675	5.675	False	S	0.0	True
1240	Inventory	False	Violent	2	5	0	DEF%	8		0			9.0		6.0			7.0			5.0	Legend	2.6833333333333336	4.683333333333334	6.683333333333334	False	S	4.0	True
1244	Inventory	False	Violent	3	5	0	DEF flat	15	HP%	7	4.0			5.0								Rare	2.0	4.0	6.0	True	S	2.0	True
1250	Inventory	False	Violent	6	5	0	HP%	8	SPD	3		3.0					15.0					Rare	1.8035714285714286	3.803571428571429	5.803571428571429	False	S	2.0	True
551	Inventory	False	Will	2	6	9	DEF%	38	HP flat	142		6.0		27.0			19.0					Hero	4.89647619047619	5.39647619047619	5.89647619047619	False	A	0.0	True
555	Inventory	False	Will	2	6	9	DEF%	38	CRate	5		19.0			13.0		16.0					Hero	5.572619047619047	6.072619047619047	6.572619047619047	False	A	0.0	True
558	Inventory	False	Will	2	6	9	ATK%	38	SPD	5	15.0		20.0				35.0					Hero	4.916666666666667	5.416666666666667	5.916666666666667	False	A	0.0	True
562	Inventory	False	Will	2	6	12	DEF%	47		0			36.0				50.0		220.0	9.0		Legend	5.443333333333333	5.443333333333333	5.443333333333333	False	A	0.0	True
565	Inventory	False	Will	2	6	9	ATK%	38	CDmg	7			31.0			11.0	26.0					Hero	3.8	4.3	4.8	False	A	0.0	True
998	Inventory	False	Will	2	6	0	ATK%	11		0						6.0		8.0			6.0	Hero	2.75	4.75	6.75	False	A	3.0	True
1000	Inventory	False	Will	2	6	0	DEF%	11	HP flat	188	8.0		17.0								5.0	Hero	2.509	4.509	6.509	False	A	3.0	True
1152	Inventory	False	Will	3	6	0	DEF flat	22	DEF%	6		5.0						5.0				Rare	2.0892857142857144	4.089285714285714	6.089285714285714	True	A	2.0	True
586	Inventory	False	Will	4	6	9	DEF%	38	HP%	5			40.0		13.0					5.0		Hero	4.916666666666667	5.416666666666667	5.916666666666667	False	A	0.0	True
588	Inventory	False	Will	4	6	9	CDmg	47	ACC	8						18.0		12.0	178.0			Hero	4.987333333333334	5.487333333333334	5.987333333333334	False	A	0.0	True
590	Inventory	False	Will	4	6	6	DEF%	29	CDmg	6				7.0							15.0	Rare	4.232142857142857	5.232142857142857	6.232142857142857	False	A	0.0	True
591	Inventory	False	Will	4	6	6	CDmg	35		0							23.0			9.0		Rare	3.575	4.575	5.575	False	A	0.0	True
592	Inventory	False	Will	4	6	9	CDmg	47		0					12.0				657.0	6.0		Hero	4.3759999999999994	4.8759999999999994	5.3759999999999994	False	A	0.0	True
596	Inventory	False	Will	4	6	6	DEF%	29	ACC	7					22.0		17.0					Rare	4.05	5.05	6.05	False	A	0.0	True
597	Inventory	False	Will	4	6	9	DEF%	38		0	12.0						39.0			5.0		Hero	4.141666666666667	4.641666666666667	5.141666666666667	False	A	0.0	True
598	Inventory	False	Will	4	6	6	HP%	29	ACC	6	22.0		15.0									Rare	3.875	4.875	5.875	False	A	0.0	True
599	Inventory	False	Will	4	6	6	CDmg	35	ACC	8								20.0		4.0		Rare	4.833333333333333	5.833333333333333	6.833333333333333	False	A	0.0	True
602	Inventory	False	Will	4	6	9	CDmg	47		0	14.0								791.0	5.0		Hero	4.471333333333334	4.971333333333334	5.471333333333334	False	A	0.0	True
605	Inventory	False	Will	4	6	12	CDmg	59	SPD	6			82.0	4.0	7.0				276.0			Legend	5.792999999999999	5.792999999999999	5.792999999999999	False	A	0.0	True
1016	Inventory	False	Will	4	6	0	CDmg	11		0								6.0	176.0		6.0	Hero	1.9846666666666666	3.9846666666666666	5.984666666666667	False	A	3.0	True
1018	Inventory	False	Will	4	6	0	HP%	11		0	7.0										6.0	Rare	1.875	3.875	5.875	False	A	2.0	True
1019	Inventory	True	Will	4	6	0	ATK%	11		0		9.0	24.0								6.0	Hero	2.885714285714286	4.885714285714286	6.885714285714286	False	A	3.0	True
610	Inventory	False	Will	5	6	9	HP flat	1440		0				12.0			18.0			12.0		Hero	5.95	6.45	6.95	True	A	0.0	True
617	Inventory	False	Will	5	6	9	HP flat	1440		0		12.0								5.0	13.0	Hero	5.5476190476190474	6.0476190476190474	6.5476190476190474	True	A	0.0	True
618	Inventory	False	Will	6	6	9	DEF%	38	SPD	5			20.0		18.0						6.0	Rare	5.416666666666667	5.916666666666667	6.416666666666667	False	A	0.0	True
619	Inventory	False	Will	6	6	9	DEF%	38	SPD	5								8.0	772.0		4.0	Rare	4.362666666666667	4.862666666666667	5.362666666666667	False	A	0.0	True
623	Inventory	False	Will	6	6	9	ATK%	38		0			47.0							5.0	10.0	Hero	4.508333333333334	5.008333333333334	5.508333333333334	False	A	0.0	True
624	Inventory	False	Will	6	6	9	ATK%	38		0							35.0	8.0		12.0		Hero	5.875	6.375	6.875	False	A	0.0	True
625	Inventory	False	Will	6	6	12	RES	48		0				11.0		12.0		21.0			4.0	Legend	6.166666666666667	6.166666666666667	6.166666666666667	False	A	0.0	True
626	Inventory	False	Will	6	6	9	HP%	38		0			29.0						357.0	9.0		Hero	4.2010000000000005	4.7010000000000005	5.2010000000000005	False	A	0.0	True
632	Inventory	False	Will	6	6	12	ATK%	47		0			16.0			18.0		6.0		6.0		Rare	5.4	5.4	5.4	False	A	0.0	True
633	Inventory	False	Will	6	6	6	HP%	29	CRate	4				10.0		14.0						Rare	3.6666666666666665	4.666666666666666	5.666666666666666	False	A	0.0	True
1028	Inventory	False	Will	6	6	0	HP%	11		0				7.0					263.0		6.0	Hero	2.2256666666666667	4.225666666666667	6.225666666666667	False	A	3.0	True
1029	Inventory	False	Will	6	6	0	ATK%	11	ATK flat	19				6.0				8.0	254.0			Hero	2.5636666666666668	4.563666666666666	6.563666666666666	False	A	3.0	True
550	Inventory	False	Will	1	5	9	ATK flat	78		0					13.0				483.0	8.0		Hero	4.935666666666666	5.435666666666666	5.935666666666666	True	A	0.0	True
1005	Inventory	False	Will	2	5	0	HP%	8		0		4.0				5.0	9.0					Hero	1.4214285714285713	3.4214285714285713	5.421428571428571	False	A	3.0	True
589	Inventory	False	Will	4	5	12	CDmg	48		0	21.0							10.0	201.0	5.0		Legend	5.809666666666667	5.809666666666667	5.809666666666667	False	A	0.0	True
1020	Inventory	False	Will	4	5	0	HP%	8	CDmg	4						4.0	13.0				3.0	Hero	1.8964285714285714	3.8964285714285714	5.896428571428571	False	A	3.0	True
620	Inventory	True	Will	6	5	9	DEF%	29	SPD	4								16.0	242.0		10.0	Rare	5.322666666666667	5.822666666666667	6.322666666666667	False	A	0.0	True
1030	Inventory	False	Will	6	5	0	DEF%	8	HP%	5	5.0			7.0								Rare	2.125	4.125	6.125	False	A	2.0	True
