;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency;tot_max_norm
30;row_69;69;40502755151;0;0;Inventory;Inventory;False;52.46;Swift;2;6;9;HP%;38;;0;0;;12.0;;;;;;;239.0;10.0;;Rare;59.6;6.3662857142857145
31;row_70;70;40616313211;0;0;Inventory;Inventory;False;59.28;Swift;2;6;9;HP%;38;;0;0;;;16.0;;;12.0;;;;16.0;;Hero;66.43;8.233333333333333
32;row_71;71;40688647869;0;0;Inventory;Inventory;False;50.6;Swift;2;6;9;DEF%;38;ATK flat;12;0;;;;;;;;14.0;153.0;8.0;;Rare;57.75;5.9206666666666665
33;row_73;73;40694378554;0;0;Inventory;Inventory;False;47.31;Swift;2;6;9;DEF%;38;ACC;8;0;;14.0;;;;;;7.0;;;6.0;Rare;54.45;5.875
34;row_75;75;40704237312;0;0;Inventory;Inventory;False;43.29;Swift;2;6;6;SPD;19;ATK flat;18;0;;13.0;;;7.0;;;;;;;Rare;57.57;5.182142857142857
35;row_76;76;38580442414;0;0;Inventory;Inventory;False;46.51;Swift;2;5;15;SPD;39;CDmg;4;0;9.0;;;;8.0;;;6.0;;;13.0;Legend;46.51;5.613095238095237
36;row_77;77;36055725677;131;0;Tesarion;Inventory;False;45.64;Swift;2;5;15;SPD;39;HP%;5;1;3.0;9.0;;17.0;;;;;;;5.0;Hero;45.64;5.2440476190476195
37;row_78;78;39510893373;0;0;Inventory;Inventory;False;44.23;Swift;2;6;9;SPD;25;ATK%;6;0;;;40.0;;;6.0;43.0;;;;;Hero;51.38;4.575
38;row_79;79;40558866208;1195;0;Savannah;Inventory;False;49.39;Swift;2;6;15;SPD;42;;0;1;18.0;;;;8.0;8.0;;12.0;;;;Hero;49.39;5.75
39;row_80;80;31609833728;11;0;Cheongpung;Inventory;False;46.3;Swift;2;6;15;SPD;42;ATK%;5;0;;5.0;;;;;31.0;12.0;;;5.0;Rare;46.3;4.447619047619048
40;row_81;81;40636698153;0;0;Inventory;Inventory;False;44.05;Swift;2;6;9;SPD;25;;0;0;;;;;;15.0;;5.0;752.0;;;Hero;51.2;4.502666666666666
41;row_85;85;39913035136;8;0;Velajuel;Inventory;False;59.47;Swift;3;6;9;DEF flat;94;RES;7;0;;6.0;;;;;;22.0;;11.0;;Hero;66.61;9.148809523809522
42;row_86;86;39919723836;0;0;Inventory;Inventory;False;54.16;Swift;3;6;9;DEF flat;94;RES;5;0;;;;;;10.0;;7.0;;10.0;;Rare;61.3;7.083333333333334
43;row_87;87;40534233445;0;0;Inventory;Inventory;False;55.95;Swift;3;6;9;DEF flat;94;;0;0;4.0;;;;;8.0;;;;14.0;;Rare;63.09;7.166666666666667
44;row_88;88;40715928687;0;0;Inventory;Inventory;False;54.95;Swift;3;6;9;DEF flat;94;;0;0;;;;;;;;7.0;154.0;14.0;;Rare;62.09;6.747
45;row_89;89;38082609154;135;0;Verdehile 2;Inventory;False;59.21;Swift;3;6;12;DEF flat;118;CRate;6;0;13.0;;;;;30.0;;8.0;;5.0;;Legend;59.21;9.041666666666666
46;row_90;90;8983562753;1195;0;Savannah;Inventory;False;55.68;Swift;3;6;12;DEF flat;118;CRate;5;0;27.0;4.0;;;;;;;456.0;6.0;;Legend;55.68;7.387761904761905
47;row_91;91;31503138845;0;0;Inventory;Inventory;False;58.92;Swift;3;6;9;DEF flat;94;HP%;8;1;;;;4.0;;6.0;;;;15.0;;Rare;66.07;8.25
48;row_94;94;39863124678;0;0;Inventory;Inventory;False;54.55;Swift;4;6;9;CDmg;47;DEF%;8;0;18.0;;;;;;;;;8.0;4.0;Hero;61.7;7.583333333333333
49;row_95;95;39905178794;0;0;Inventory;Inventory;False;53.27;Swift;4;6;9;CDmg;47;;0;0;12.0;;35.0;;;;;;;10.0;;Hero;60.42;6.708333333333334
50;row_101;101;40708804342;134;0;Hwa;Inventory;False;55.05;Swift;4;6;9;CDmg;47;;0;0;;;;;;14.0;;15.0;;9.0;;Hero;62.19;7.625
51;row_102;102;39498351784;6;0;Verdehile;Inventory;True;49.52;Swift;4;6;15;CRate;58;;0;0;5.0;24.0;;7.0;7.0;;;;;;;Hero;49.52;5.803571428571429
52;row_104;104;40687297711;0;0;Inventory;Inventory;False;54.49;Swift;4;6;15;HP%;63;;0;1;;11.0;;8.0;;;;;987.0;8.0;;Legend;54.49;6.554095238095238
53;row_105;105;40942527972;8;0;Velajuel;Inventory;False;49.69;Swift;4;6;12;DEF%;47;;0;0;6.0;;;8.0;28.0;;;5.0;;;;Legend;49.69;5.875
54;row_106;106;40688188209;1321;0;Okeanos;Inventory;False;53.55;Swift;4;6;12;HP%;47;RES;6;0;;;;18.0;13.0;15.0;;;;;6.0;Legend;53.55;7.5
55;row_107;107;40988787635;0;0;Inventory;Inventory;True;50.74;Swift;4;6;6;CDmg;35;HP flat;157;0;;;44.0;;;;;;;10.0;;Rare;65.03;6.642666666666667
56;row_109;109;38090605173;0;0;Inventory;Inventory;False;53.46;Swift;5;6;9;HP flat;1440;;0;0;7.0;;43.0;;;;;;;11.0;;Hero;60.6;6.616666666666666
57;row_112;112;40650668980;145;0;Tyron;Inventory;False;58.96;Swift;5;6;9;HP flat;1440;CDmg;5;0;;;;;6.0;;12.0;;;16.0;;Rare;66.1;8.097619047619048
58;row_113;113;40936321789;6;0;Verdehile;Inventory;False;52.38;Swift;5;5;9;HP flat;1215;CRate;5;0;;;;;6.0;;;9.0;;13.0;;Hero;59.52;8.041666666666666
59;row_115;115;37133627648;151;0;Spectra;Inventory;False;59.32;Swift;5;6;9;HP flat;1440;CRate;4;1;;;;7.0;;;15.0;;;16.0;;Rare;66.47;8.25
60;row_116;116;40198626117;0;0;Inventory;Inventory;False;51.88;Swift;5;6;9;HP flat;1440;SPD;6;0;7.0;;;;;18.0;;;;;4.0;Rare;59.02;6.791666666666666
61;row_117;117;37087127874;0;0;Inventory;Inventory;False;52.07;Swift;6;6;9;ATK%;38;;0;0;;;;20.0;;11.0;;;;6.0;;Hero;59.22;6.875
62;row_119;119;38805355122;0;0;Inventory;Inventory;False;49.53;Swift;6;6;9;ATK%;38;SPD;4;0;;13.0;13.0;;;;;13.0;;;;Rare;56.68;6.14047619047619
63;row_120;120;40444037889;0;0;Inventory;Inventory;False;53.27;Swift;6;6;9;ATK%;38;;0;0;12.0;;;;;;;7.0;;10.0;;Rare;60.41;6.708333333333334
64;row_125;125;40681049910;6;0;Verdehile;Inventory;False;55.71;Swift;6;6;12;ATK%;47;;0;0;;;41.0;;;5.0;;14.0;;10.0;;Legend;55.71;6.733333333333333
65;row_127;127;5878918394;1321;0;Okeanos;Inventory;False;57.73;Swift;6;6;15;ATK%;63;;0;0;7.0;;;7.0;;;;8.0;;13.0;;Rare;57.73;7.083333333333333
66;row_128;128;40788861294;0;0;Inventory;Inventory;False;47.71;Swift;6;6;9;ATK%;38;DEF%;6;0;11.0;;;;;;;10.0;;;10.0;Hero;54.85;6.041666666666667
67;row_132;132;40297846275;82;0;Homunculus - Hypermors;Inventory;False;64.29;Blade;1;6;15;ATK flat;160;CRate;4;0;;5.0;;;12.0;;;13.0;;15.0;;Hero;64.29;9.50595238095238
68;row_133;133;5742217710;0;0;Inventory;Inventory;False;50.24;Blade;2;6;15;SPD;42;;0;0;;13.0;;7.0;;23.0;20.0;;;;;Unknown;50.24;6.107142857142858
69;row_136;136;14620868898;0;0;Inventory;Inventory;False;51.37;Blade;2;6;15;SPD;42;ATK%;7;0;16.0;;;;;7.0;;8.0;;;11.0;Rare;51.37;6.583333333333333
70;row_137;137;22983172463;0;0;Inventory;Inventory;False;51.46;Blade;2;6;15;SPD;42;HP flat;146;0;;5.0;;;10.0;29.0;;;;;5.0;Legend;51.46;6.617285714285714
71;row_145;145;40650776617;135;0;Verdehile 2;Inventory;False;60.41;Blade;5;6;9;HP flat;1440;ATK flat;20;0;;;;;6.0;13.0;;;;15.0;;Hero;67.56;8.875
72;row_149;149;39493365369;0;0;Inventory;Inventory;False;60.08;Rage;1;6;9;ATK flat;94;CDmg;4;0;16.0;;;;;;;;;14.0;4.0;Hero;67.23;8.904761904761905
73;row_150;150;39526298691;101;0;Baleygr;Inventory;False;56.3;Rage;1;6;9;ATK flat;94;HP flat;206;0;;14.0;;;;;;7.0;;11.0;;Hero;63.45;7.816333333333333
74;row_151;151;40214949522;0;0;Inventory;Inventory;False;56.84;Rage;1;6;9;ATK flat;94;RES;5;0;;;;13.0;;;;13.0;;10.0;;Hero;63.98;8.208333333333334
75;row_152;152;38306610426;96;0;Zaiross;Inventory;False;57.72;Rage;1;6;12;ATK flat;118;CDmg;7;0;20.0;;;6.0;;;;;;5.0;15.0;Legend;57.72;8.416666666666668
76;row_153;153;38243496316;98;0;Brandia;Inventory;False;58.2;Rage;1;6;9;ATK flat;94;CDmg;4;0;13.0;;;;14.0;;;;;11.0;;Hero;65.34;8.613095238095237
77;row_154;154;39318044320;125;0;Kro;Inventory;False;60.31;Rage;1;6;9;ATK flat;94;CRate;5;0;;;;;8.0;;;8.0;;15.0;;Rare;67.45;8.833333333333332
78;row_155;155;5826975411;0;0;Inventory;Inventory;False;58.92;Rage;2;6;10;DEF%;41;;0;0;16.0;;;;6.0;;;;;14.0;;Hero;66.06;8.416666666666668
79;row_156;156;31770036224;0;0;Inventory;Inventory;False;46.59;Rage;2;6;15;SPD;42;;0;0;;4.0;;;7.0;;;5.0;;;15.0;Rare;46.59;4.571428571428571
80;row_157;157;37480653450;0;0;Inventory;Inventory;False;49.89;Rage;2;6;9;SPD;25;ACC;6;0;;;;;;21.0;;6.0;;;11.0;Hero;57.03;6.958333333333333
81;row_158;158;38243543315;0;0;Inventory;Inventory;False;49.26;Rage;2;6;9;HP%;38;DEF%;7;0;6.0;11.0;;;20.0;;;;;;;Hero;56.41;6.696428571428571
82;row_159;159;38445326505;0;0;Inventory;Inventory;False;59.1;Rage;2;6;9;ATK%;38;ACC;4;0;;;18.0;;;;;11.0;;15.0;;Hero;66.25;8.325
83;row_160;160;38972277411;0;0;Inventory;Inventory;False;47.31;Rage;2;6;9;ATK%;38;;0;0;5.0;;;27.0;;;;7.0;;;;Hero;54.45;5.875
84;row_161;161;39498218880;0;0;Inventory;Inventory;False;44.98;Rage;2;6;9;SPD;25;ATK flat;10;0;12.0;8.0;;8.0;;;;;;;;Hero;52.12;4.892857142857142
85;row_164;164;40092898027;0;0;Inventory;Inventory;False;56.3;Rage;2;6;9;ATK%;38;HP flat;184;0;;;;;;16.0;16.0;;;12.0;;Rare;63.44;7.645333333333333
86;row_167;167;40135789248;0;0;Inventory;Inventory;False;48.39;Rage;2;6;9;ATK%;38;SPD;5;0;;;12.0;;;18.0;11.0;;;;;Rare;55.53;5.491666666666666
87;row_170;170;40769077763;0;0;Inventory;Inventory;False;46.62;Rage;2;6;9;DEF%;38;ACC;4;0;7.0;;;;19.0;;;;;;5.0;Rare;53.76;5.583333333333333
88;row_171;171;31519267692;0;0;Inventory;Inventory;False;57.12;Rage;2;6;15;ATK%;63;;0;0;;15.0;14.0;;;;;;;11.0;6.0;Hero;57.12;7.15952380952381
89;row_172;172;35710965029;0;0;Inventory;Inventory;True;53.37;Rage;3;5;9;DEF flat;78;CDmg;3;0;;;;;;15.0;;;273.0;14.0;;Hero;60.51;8.334238095238096
90;row_173;173;37508823519;0;0;Inventory;Inventory;False;60.83;Rage;3;6;9;DEF flat;94;ACC;5;0;8.0;10.0;;;;;;;;15.0;;Hero;67.98;9.053571428571429
91;row_174;174;39312368837;0;0;Inventory;Inventory;False;57.93;Rage;3;6;9;DEF flat;94;;0;0;4.0;;;;;;;;;16.0;5.0;Rare;65.08;7.666666666666666
92;row_175;175;39317602361;0;0;Inventory;Inventory;False;56.82;Rage;3;6;9;DEF flat;94;ACC;5;0;;;;;;19.0;;;274.0;11.0;;Hero;63.96;8.032
93;row_176;176;39484802199;0;0;Inventory;Inventory;True;52.28;Rage;3;6;9;DEF flat;94;DEF%;8;0;;;;4.0;;;;;344.0;10.0;;Rare;59.42;6.292
94;row_177;177;39498769999;0;0;Inventory;Inventory;False;61.9;Rage;3;6;9;DEF flat;94;;0;0;7.0;;;5.0;;;;;;19.0;;Hero;69.04;8.833333333333332
95;row_178;178;37515562564;0;0;Inventory;Inventory;False;52.67;Rage;3;6;9;DEF flat;94;CRate;6;0;18.0;;;;;7.0;;;;6.0;;Rare;59.81;7.125
96;row_179;179;40092879158;0;0;Inventory;Inventory;False;53.37;Rage;3;6;9;DEF flat;94;CDmg;7;0;;;;;;;;6.0;499.0;10.0;;Rare;60.51;6.748666666666667
97;row_180;180;39506222410;125;0;Kro;Inventory;False;58.47;Rage;3;6;9;DEF flat;94;HP flat;358;0;;;;;;14.0;;;;11.0;11.0;Hero;65.61;8.727333333333332
98;row_181;181;6891960416;0;0;Inventory;Inventory;False;49.74;Rage;4;6;15;ATK%;63;;0;0;8.0;15.0;;16.0;;;30.0;;;;;Legend;49.74;5.892857142857142
99;row_182;182;22607606796;0;0;Inventory;Inventory;False;60.26;Rage;4;6;15;HP%;63;DEF flat;15;0;;6.0;;11.0;;;;;151.0;15.0;;Hero;60.26;7.80847619047619
100;row_183;183;37138928638;0;0;Inventory;Inventory;False;48.64;Rage;4;6;9;HP%;38;RES;7;0;;8.0;;;;14.0;;;;;10.0;Hero;55.78;6.43452380952381
101;row_184;184;38320267582;0;0;Inventory;Inventory;False;51.18;Rage;4;6;9;HP%;38;DEF%;8;0;13.0;;;;15.0;;;;;4.0;;Rare;58.32;6.833333333333333
102;row_186;186;39408754655;0;0;Inventory;Inventory;False;54.47;Rage;4;6;9;DEF%;38;HP%;8;0;;5.0;;;;;;;;9.0;10.0;Rare;61.61;7.380952380952381
103;row_187;187;39493380009;0;0;Inventory;Inventory;False;48.32;Rage;4;6;9;DEF%;38;HP%;7;0;12.0;;;;20.0;;;;318.0;;;Hero;55.46;6.299
104;row_188;188;39521151488;0;0;Inventory;Inventory;False;58.57;Rage;4;6;9;HP%;38;;0;0;;;;;;13.0;;;355.0;15.0;;Hero;65.71;8.098333333333333
105;row_189;189;39538249793;0;0;Inventory;Inventory;False;50.37;Rage;4;6;15;CRate;58;;0;0;10.0;23.0;;8.0;;5.0;;;;;;Legend;50.37;6.160714285714286
106;row_191;191;40092649817;0;0;Inventory;Inventory;False;47.37;Rage;4;6;9;CDmg;47;HP flat;299;0;22.0;;;;;6.0;;8.0;;;;Rare;54.51;5.898666666666666
107;row_192;192;40130641982;0;0;Inventory;Inventory;False;51.98;Rage;4;6;9;DEF%;38;DEF flat;18;0;;;36.0;;;;;;360.0;10.0;;Hero;59.13;6.163333333333333
108;row_193;193;40501019146;0;0;Inventory;Inventory;True;49.59;Rage;4;6;9;ATK%;38;;0;0;22.0;;;;;;;10.0;;;11.0;Hero;56.73;6.833333333333333
109;row_196;196;39498690953;0;0;Inventory;Inventory;False;47.91;Rage;4;6;9;CDmg;47;;0;0;;;;;;;;5.0;;4.0;15.0;Rare;55.05;5.458333333333333
110;row_197;197;38242185272;101;0;Baleygr;Inventory;False;51.48;Rage;4;6;9;CDmg;47;DEF%;5;0;;;20.0;;;;;20.0;;6.0;;Rare;58.63;6.625
111;row_198;198;40936445127;0;0;Inventory;Inventory;False;55.08;Rage;4;6;9;CDmg;47;;0;0;;;;;;;12.0;;;12.0;11.0;Hero;62.22;7.133333333333333
112;row_199;199;31441287970;96;0;Zaiross;Inventory;False;61.0;Rage;4;6;15;CDmg;80;;0;0;;;;11.0;19.0;7.0;;;;12.0;;Legend;61.0;8.625
113;row_200;200;35349507891;0;0;Inventory;Inventory;False;57.73;Rage;5;6;9;HP flat;1440;;0;0;;;;;6.0;20.0;;;;12.0;;Hero;64.87;8.25
114;row_201;201;36228933593;0;0;Inventory;Inventory;False;56.9;Rage;5;6;9;HP flat;1440;;0;0;;;;;13.0;;11.0;;;14.0;;Hero;64.05;7.566666666666666
115;row_202;202;37936239512;101;0;Baleygr;Inventory;False;53.86;Rage;5;6;9;HP flat;1440;ACC;8;0;6.0;;;;;;;27.0;;5.0;;Hero;61.0;7.791666666666667
116;row_203;203;38322460090;0;0;Inventory;Inventory;False;52.08;Rage;5;6;9;HP flat;1440;DEF flat;20;0;;;;4.0;;27.0;;;;5.0;;Hero;59.22;7.041666666666667
117;row_204;204;39282111638;0;0;Inventory;Inventory;False;53.94;Rage;5;6;9;HP flat;1440;ATK%;7;0;20.0;9.0;;;;;;;;6.0;;Hero;61.09;7.660714285714286
118;row_207;207;40137441171;0;0;Inventory;Inventory;False;58.69;Rage;5;6;9;HP flat;1440;RES;4;0;;;31.0;;;;15.0;;;16.0;;Hero;65.84;7.9833333333333325
119;row_208;208;40137527119;0;0;Inventory;Inventory;False;52.54;Rage;5;6;9;HP flat;1440;SPD;6;0;;11.0;;18.0;;;10.0;;;;;Hero;59.69;7.071428571428571
120;row_210;210;39317845860;125;0;Kro;Inventory;False;57.24;Rage;5;6;9;HP flat;1440;CRate;4;0;;;;5.0;6.0;;;;;14.0;;Rare;64.38;7.708333333333334
121;row_211;211;22559172582;98;0;Brandia;Inventory;False;60.35;Rage;5;6;12;HP flat;1800;;0;0;;;;5.0;;13.0;24.0;;;15.0;;Legend;60.35;7.85
122;row_212;212;31519267696;0;0;Inventory;Inventory;False;50.93;Rage;6;6;11;DEF%;44;;0;0;;;;;21.0;;;;575.0;6.0;;Hero;58.07;6.391666666666667
123;row_214;214;37480706534;0;0;Inventory;Inventory;False;55.6;Rage;6;6;12;HP%;47;;0;0;;;34.0;;;;40.0;;;11.0;6.0;Legend;55.6;6.516666666666667
124;row_219;219;39437112019;0;0;Inventory;Inventory;False;56.32;Rage;6;6;9;DEF%;38;DEF flat;17;0;;6.0;;;7.0;;;;;13.0;;Rare;63.47;7.49047619047619
125;row_226;226;40534233443;0;0;Inventory;Inventory;False;44.96;Rage;6;5;12;DEF%;37;SPD;3;0;;9.0;;14.0;;;;7.0;;;8.0;Legend;44.96;6.244047619047619
126;row_227;227;40837622019;0;0;Inventory;Inventory;False;59.82;Rage;6;6;6;DEF%;29;ACC;5;0;;;;;;;;8.0;;17.0;;Rare;74.1;9.291666666666668
127;row_228;228;38243434604;125;0;Kro;Inventory;False;52.3;Rage;6;6;15;ATK%;63;ATK flat;20;0;;5.0;;;;8.0;30.0;;;8.0;;Rare;52.3;5.6309523809523805
128;row_229;229;40837698135;0;0;Inventory;Inventory;False;44.15;Rage;6;6;6;ATK%;29;;0;0;;12.0;;;;;;;;;11.0;Rare;58.44;5.5476190476190474
129;row_230;230;39451925013;98;0;Brandia;Inventory;False;47.94;Rage;6;6;12;ATK%;47;ACC;6;0;;11.0;29.0;;;;17.0;;;;10.0;Hero;47.94;5.138095238095238
130;row_231;231;37515549906;96;0;Zaiross;Inventory;False;56.2;Rage;6;6;12;ATK%;47;ACC;7;0;;;19.0;;;;;;190.0;10.0;12.0;Legend;56.2;6.9366666666666665
131;row_234;234;40922848354;0;0;Inventory;Inventory;False;59.82;Focus;1;6;9;ATK flat;94;ACC;8;0;;;;;6.0;;;;280.0;16.0;;Rare;66.96;8.456666666666667
132;row_235;235;38547333422;0;0;Inventory;Inventory;False;61.3;Focus;1;6;9;ATK flat;94;;0;0;6.0;;;12.0;;;;;;17.0;;Hero;68.45;8.916666666666668
133;row_237;237;35934580787;0;0;Inventory;Inventory;False;63.09;Focus;2;6;12;HP%;47;;0;0;;;;;6.0;6.0;;;;16.0;12.0;Hero;63.09;8.833333333333332
134;row_241;241;40531235851;0;0;Inventory;Inventory;False;54.66;Focus;4;6;12;DEF%;47;HP flat;194;0;14.0;;18.0;24.0;;;;;;5.0;;Hero;54.66;7.125333333333334
135;row_244;244;40201411655;0;0;Inventory;Inventory;False;62.79;Focus;5;6;9;HP flat;1440;DEF%;5;0;;;;8.0;22.0;;;;;14.0;;Hero;69.93;10.041666666666668
136;row_245;245;38558640789;0;0;Inventory;Inventory;False;59.77;Focus;5;6;9;HP flat;1440;CDmg;6;0;;;;13.0;;13.0;;;;12.0;;Hero;66.91;9.107142857142858
137;row_246;246;38919528697;114;0;Oliver;Inventory;False;64.45;Focus;5;6;12;HP flat;1800;CDmg;4;0;;;;;;14.0;10.0;;;16.0;9.0;Legend;64.45;9.404761904761903
138;row_251;251;36458373018;0;0;Inventory;Inventory;False;61.6;Endure;1;6;9;ATK flat;94;HP%;5;0;10.0;;;;8.0;;;;;16.0;;Hero;68.74;9.208333333333332
139;row_253;253;40225785872;0;0;Inventory;Inventory;False;63.29;Endure;1;6;9;ATK flat;94;HP flat;345;0;;;;13.0;;;;8.0;;17.0;;Hero;70.44;9.751666666666669
140;row_258;258;40531321251;0;0;Inventory;Inventory;False;49.79;Endure;2;6;9;SPD;25;CRate;4;0;11.0;;;8.0;23.0;;;;;;;Hero;56.93;6.916666666666667
141;row_261;261;40466775949;0;0;Inventory;Inventory;True;65.57;Endure;3;6;9;DEF flat;94;;0;0;;;;;;;;7.0;;21.0;7.0;Hero;72.71;10.041666666666666
142;row_262;262;40561492435;1;0;Anavel;Inventory;False;66.91;Endure;3;6;12;DEF flat;118;HP%;5;0;;20.0;;6.0;;7.0;;;;16.0;;Legend;66.91;10.44047619047619
143;row_266;266;36531918439;0;0;Inventory;Inventory;True;59.05;Endure;4;6;9;DEF%;38;CRate;6;0;;7.0;;;;;32.0;;;14.0;;Hero;66.19;8.466666666666667
144;row_274;274;40004139461;154;0;Lisa;Inventory;False;57.2;Endure;4;6;12;HP%;47;HP flat;282;0;15.0;;;;12.0;;31.0;;;9.0;;Legend;57.2;7.526000000000001
