s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"ATK%";7;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ACC";28;{"enchanted":false,"gvalue":0};"";0;{};"row_58";58;40004341917;0;0;"Inventory";"Inventory";false;74.11;"Guard";6;6;9;"DEF%";38;"";0;0;"-";"-";"-";28;7;"-";"-";"-";"-";6;"-";"Hero";81.25
"SPD";10;{"enchanted":false,"gvalue":0};"HP%";21;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"row_59";59;41787971730;0;0;"Inventory";"Inventory";false;81.42;"Guard";6;6;12;"RES";48;"";0;0;"-";6;"-";"-";10;"-";"-";21;"-";10;"-";"Legend";81.42
"SPD";16;{"enchanted":false,"gvalue":0};"ATK flat";26;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"";0;{};"row_60";60;40217731100;36;0;"Oliver";"Inventory";false;72.8;"Guard";6;6;11;"HP%";44;"ACC";7;1;"-";7;26;"-";"-";"-";"-";"-";"-";16;"-";"Hero";79.94
"RES";15;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ACC";16;{"enchanted":false,"gvalue":0};"";0;{};"row_61";61;42803387830;0;0;"Inventory";"Inventory";false;70.54;"Guard";6;6;9;"HP%";38;"";0;0;15;"-";"-";16;"-";"-";"-";"-";"-";6;"-";"Hero";77.68
"ACC";9;{"enchanted":false,"gvalue":0};"SPD";13;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"HP flat";194;{"enchanted":false,"gvalue":0};"row_62";62;42847830845;0;0;"Inventory";"Inventory";true;64.53;"Guard";6;5;12;"RES";38;"";0;0;"-";"-";"-";9;12;"-";"-";"-";194;13;"-";"Legend";64.53
"DEF%";22;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"";0;{};"row_63";63;42615912395;0;0;"Inventory";"Inventory";false;70.24;"Guard";6;6;9;"HP%";38;"";0;0;6;"-";"-";"-";"-";22;"-";"-";"-";8;"-";"Hero";77.38
"RES";14;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_64";64;41414004832;0;0;"Inventory";"Inventory";false;61.31;"Swift";1;6;6;"ATK flat";70;"";0;0;14;"-";"-";"-";"-";"-";"-";"-";"-";11;"-";"Rare";75.6
"SPD";14;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_65";65;41484625854;131;0;"Bernard";"Inventory";false;63.1;"Swift";1;6;6;"ATK flat";70;"RES";7;1;"-";"-";"-";"-";"-";"-";"-";5;"-";14;"-";"Rare";77.38
"HP%";14;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_66";66;42908667992;0;0;"Inventory";"Inventory";false;64.03;"Swift";1;6;6;"ATK flat";70;"CDmg";5;0;"-";"-";"-";"-";"-";"-";"-";14;"-";9;"-";"Rare";78.32
"SPD";15;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_67";67;42908920808;27;0;"Verdehile";"Inventory";false;60.71;"Swift";1;6;6;"ATK flat";70;"";0;1;"-";"-";"-";"-";8;"-";"-";"-";"-";15;"-";"Rare";75
"RES";6;{"enchanted":false,"gvalue":0};"SPD";20;{"enchanted":false,"gvalue":3};"HP flat";404;{"enchanted":false,"gvalue":0};"";0;{};"row_68";68;41491218484;32;0;"Hathor";"Inventory";false;75.87;"Swift";1;6;9;"ATK flat";94;"ATK%";8;1;6;"-";"-";"-";"-";"-";"-";"-";404;20;"-";"Hero";83.01
"ATK%";16;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"CRate";8;{"enchanted":false,"gvalue":0};"";0;{};"row_69";69;42941168926;107;0;"Taor";"Inventory";false;79.17;"Swift";1;6;9;"ATK flat";94;"ACC";6;1;"-";"-";"-";"-";16;"-";"-";"-";"-";12;8;"Hero";86.31
"ATK%";12;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"ACC";9;{"enchanted":false,"gvalue":0};"";0;{};"row_70";70;41462150226;0;0;"Inventory";"Inventory";false;67.56;"Swift";1;6;9;"ATK flat";94;"";0;0;"-";"-";"-";9;12;"-";"-";"-";"-";11;"-";"Hero";74.7
"CDmg";11;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"";0;{};"row_71";71;39543505220;0;0;"Inventory";"Inventory";false;65.39;"Swift";1;6;9;"ATK flat";94;"";0;0;"-";11;"-";"-";6;"-";"-";"-";"-";11;"-";"Rare";72.53
"HP%";12;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"";0;{};"row_72";72;38334732386;43;0;"Eshir";"Inventory";false;73.81;"Swift";1;6;9;"ATK flat";94;"";0;1;"-";"-";"-";"-";"-";"-";"-";12;"-";12;11;"Hero";80.95
"SPD";17;{"enchanted":false,"gvalue":3};"ATK%";12;{"enchanted":false,"gvalue":4};"HP flat";826;{"enchanted":false,"gvalue":247};"HP%";15;{"enchanted":false,"gvalue":3};"row_73";73;39520495893;28;0;"Velajuel";"Inventory";false;87.93;"Swift";1;6;12;"ATK flat";118;"";0;1;"-";"-";"-";"-";12;"-";"-";15;826;17;"-";"Legend";87.93
"HP%";15;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_74";74;42910045353;152;0;"Tablo *";"Inventory";false;77.3;"Swift";1;6;9;"ATK flat";94;"ATK%";7;1;"-";4;"-";"-";"-";"-";"-";15;"-";15;"-";"Hero";84.44
"SPD";16;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_75";75;43448324077;98;0;"Vigor";"Inventory";false;59.23;"Swift";1;6;6;"ATK flat";70;"";0;1;5;"-";"-";"-";"-";"-";"-";"-";"-";16;"-";"Rare";73.51
