	monster_n	ancient	set	slot	grade	level	m_t	m_v	i_t	i_v	sub_res	sub_cdmg	sub_atkf	sub_acc	sub_atkp	sub_defp	sub_deff	sub_hpp	sub_hpf	sub_spd	sub_crate	quality	tot_sum_norm	tot_min_norm	tot_max_norm	is_odd	is_certain_set	num_powerup_incsub_left	flag
951	Inventory	False	Blade	4	6	0	CDmg	11		0							14.0	8.0				Rare	1.35	3.35	5.35	False	True	2.0	False
952	Inventory	False	Blade	4	6	0	DEF%	11		0		7.0							333.0			Rare	1.444	3.444	5.444	False	True	2.0	False
205	Laika	False	Blade	5	6	6	HP flat	1080	CDmg	7	8.0									15.0		Rare	7.0	8.0	9.0	True	True	0.0	False
206	Inventory	False	Blade	5	6	9	HP flat	1440	CRate	4						13.0	20.0			13.0		Hero	7.125	7.625	8.125	True	True	0.0	False
207	Garo *	False	Blade	5	6	9	HP flat	1440	ACC	7					13.0					15.0	4.0	Hero	8.166666666666668	8.666666666666668	9.166666666666668	True	True	0.0	False
208	Inventory	False	Blade	5	6	9	HP flat	1440	ATK flat	20					6.0	13.0				15.0		Hero	7.875	8.375	8.875	True	True	0.0	False
209	Inventory	True	Blade	5	6	6	HP flat	1080		0					16.0					11.0		Rare	5.666666666666666	6.666666666666666	7.666666666666666	True	True	0.0	False
210	Inventory	False	Blade	5	6	6	HP flat	1080	HP%	6				11.0						9.0		Rare	5.125	6.125	7.125	True	True	0.0	False
211	Inventory	False	Blade	5	6	9	HP flat	1440	ACC	4					15.0	16.0				6.0		Hero	6.375	6.875	7.375	True	True	0.0	False
212	Brandia	False	Blade	5	6	6	HP flat	1080	CDmg	7										6.0	15.0	Rare	5.5	6.5	7.5	True	True	0.0	False
953	Inventory	False	Blade	5	6	0	HP flat	360		0					7.0		13.0				4.0	Hero	1.8666666666666667	3.8666666666666667	5.866666666666667	True	True	3.0	True
213	Zaiross	False	Blade	6	6	12	ATK%	47	HP flat	317				7.0		5.0		5.0		19.0		Hero	8.880999999999998	8.880999999999998	8.880999999999998	False	True	0.0	False
954	Inventory	False	Blade	6	6	0	DEF%	11	HP flat	209	6.0							5.0			4.0	Hero	2.320333333333333	4.320333333333333	6.320333333333333	False	True	3.0	False
955	Inventory	False	Blade	6	6	0	HP%	11	CDmg	5					6.0					4.0		Rare	2.7976190476190474	4.7976190476190474	8.797619047619047	False	True	2.0	False
956	Inventory	False	Blade	6	6	0	HP%	11		0			11.0							6.0		Rare	2.275	4.275	8.275	False	True	2.0	False
182	Inventory	True	Blade	1	5	9	ATK flat	78		0									335.0	9.0	13.0	Hero	5.613333333333333	6.113333333333333	6.613333333333333	True	True	0.0	False
185	Inventory	True	Blade	2	5	12	SPD	29		0		7.0		15.0		9.0	24.0					Legend	4.6	4.6	4.6	False	True	0.0	False
187	Inventory	True	Blade	2	5	6	SPD	17	CRate	5				6.0			33.0					Rare	2.408333333333333	3.408333333333333	4.408333333333333	False	True	0.0	False
191	Psamathe	True	Blade	2	5	12	SPD	29	CDmg	3				9.0	19.0	9.0					13.0	Legend	7.220238095238095	7.220238095238095	7.220238095238095	False	True	0.0	False
196	Inventory	True	Blade	3	5	6	DEF flat	57		0								9.0		12.0		Rare	5.125	6.125	7.125	True	True	0.0	False
949	Inventory	True	Blade	3	5	0	DEF flat	15		0				5.0						4.0	6.0	Hero	2.958333333333333	4.958333333333333	9.958333333333332	True	True	3.0	False
398	Inventory	False	Despair	1	6	9	ATK flat	94	RES	6				6.0	11.0					17.0		Hero	8.541666666666668	9.041666666666668	9.541666666666668	True	False	0.0	False
399	Psamathe	False	Despair	1	6	9	ATK flat	94	RES	8		7.0			13.0					14.0		Hero	8.291666666666668	8.791666666666668	9.291666666666668	True	False	0.0	False
400	Inventory	True	Despair	1	6	12	ATK flat	118		0	13.0			17.0	6.0					11.0		Legend	8.166666666666666	8.166666666666666	8.166666666666666	True	False	0.0	False
401	Inventory	False	Despair	1	6	6	ATK flat	70	ACC	5	6.0									14.0		Rare	6.041666666666667	7.041666666666667	8.041666666666668	True	False	0.0	False
402	Inventory	False	Despair	2	6	6	SPD	19		0	11.0					12.0						Rare	2.875	3.875	4.875	False	False	0.0	False
403	Inventory	False	Despair	2	6	9	SPD	25		0	12.0		19.0								10.0	Rare	3.6416666666666666	4.141666666666667	4.641666666666667	False	False	0.0	False
406	Inventory	False	Despair	2	6	6	SPD	19	DEF%	8					15.0		26.0					Rare	3.525	4.525	5.525	False	False	0.0	False
407	Inventory	False	Despair	2	6	9	SPD	25	ATK%	8			29.0			20.0		8.0				Hero	5.225	5.725	6.225	False	False	0.0	False
408	Inventory	False	Despair	2	6	12	DEF%	47	CDmg	7				25.0				13.0		6.0	4.0	Legend	8.416666666666668	8.416666666666668	8.416666666666668	False	False	0.0	False
1018	Inventory	False	Despair	2	6	0	SPD	7	ACC	5						5.0			213.0			Rare	1.534	3.534	5.534	False	False	2.0	False
1019	Inventory	True	Despair	2	6	0	SPD	7		0		8.0		10.0				10.0			6.0	Legend	4.642857142857142	6.642857142857142	8.642857142857142	False	False	4.0	False
1020	Inventory	False	Despair	2	6	0	SPD	7		0					5.0		14.0					Rare	0.975	2.975	4.975	False	False	2.0	False
409	Inventory	False	Despair	3	6	9	DEF flat	94		0								15.0		16.0	4.0	Hero	7.875	8.375	8.875	True	False	0.0	False
411	Inventory	False	Despair	3	6	9	DEF flat	94	CDmg	5	5.0					17.0			395.0	5.0		Legend	5.657619047619048	6.157619047619048	7.657619047619048	True	False	1.0	False
412	Psamathe	False	Despair	3	6	9	DEF flat	94		0						15.0				13.0	5.0	Hero	7.041666666666666	7.541666666666666	8.041666666666666	True	False	0.0	False
413	Inventory	False	Despair	3	6	9	DEF flat	94	HP%	8	9.0			4.0						15.0		Hero	7.625	8.125	8.625	True	False	0.0	False
1021	Inventory	False	Despair	3	6	0	DEF flat	22		0		4.0				6.0				6.0		Hero	3.321428571428571	5.321428571428571	10.321428571428571	True	False	3.0	False
414	Inventory	False	Despair	4	6	9	DEF%	38	CRate	4	23.0						20.0			11.0		Hero	7.708333333333333	8.208333333333332	8.708333333333332	False	False	0.0	False
415	Inventory	False	Despair	4	6	9	HP%	38	ACC	7		11.0							381.0	11.0		Hero	6.621095238095238	7.121095238095238	7.621095238095238	False	False	0.0	False
1022	Inventory	False	Despair	4	6	12	HP%	47	DEF%	6	21.0			6.0			35.0			7.0		Legend	7.333333333333334	7.333333333333334	7.333333333333334	False	False	0.0	False
416	Inventory	False	Despair	5	6	6	HP flat	1080	ATK flat	11	5.0									18.0		Rare	6.9	7.9	8.9	True	False	0.0	False
417	Inventory	False	Despair	5	6	6	HP flat	1080	CRate	4						8.0				16.0		Rare	7.0	8.0	9.0	True	False	0.0	False
419	Psamathe	False	Despair	5	6	9	HP flat	1440		0	11.0									10.0	11.0	Hero	6.541666666666667	7.041666666666667	7.541666666666667	True	False	0.0	False
1023	Inventory	False	Despair	5	6	0	HP flat	360		0					7.0					4.0		Rare	2.208333333333333	4.208333333333333	8.208333333333332	True	False	2.0	False
1024	Inventory	False	Despair	5	6	0	HP flat	360		0		7.0					19.0					Rare	1.475	3.475	5.475	True	False	2.0	True
420	Inventory	False	Despair	6	6	6	ATK%	29	DEF flat	12						7.0				17.0		Rare	6.841666666666667	7.841666666666667	8.841666666666667	False	False	0.0	False
421	Psamathe	False	Despair	6	6	6	ATK%	29		0										14.0	6.0	Rare	5.666666666666667	6.666666666666667	7.666666666666667	False	False	0.0	False
422	Inventory	True	Despair	6	6	12	HP%	47		0	6.0	6.0			31.0					7.0		Legend	7.815476190476191	7.815476190476191	7.815476190476191	False	False	0.0	False
1025	Inventory	False	Despair	6	6	0	RES	12	SPD	6		5.0		4.0			19.0				6.0	Legend	4.689285714285715	6.689285714285715	8.689285714285715	False	False	4.0	False
404	Inventory	True	Despair	2	5	6	SPD	17		0				9.0			39.0					Rare	2.1	3.1	4.1	False	False	0.0	False
405	Inventory	True	Despair	2	5	6	SPD	17		0						17.0	11.0					Rare	2.4	3.4	4.4	False	False	0.0	False
410	Inventory	True	Despair	3	5	6	DEF flat	57	ACC	3	8.0									13.0		Rare	5.708333333333333	6.708333333333333	7.708333333333333	True	False	0.0	False
418	Inventory	True	Despair	5	5	9	HP flat	1215	ATK%	4			28.0			8.0	22.0			9.0		Legend	5.75	6.25	7.75	True	False	1.0	False
777	Feng Yan	False	Destroy	1	6	9	ATK flat	94	RES	4		7.0								22.0	6.0	Hero	9.833333333333332	10.333333333333332	10.833333333333332	True	False	0.0	False
778	Inventory	False	Destroy	1	6	12	ATK flat	118	HP flat	233	8.0			6.0				20.0		21.0		Hero	11.560666666666666	11.560666666666666	11.560666666666666	True	False	0.0	False
779	Chiwu	True	Destroy	1	6	9	ATK flat	94		0				10.0					355.0	19.0		Hero	8.056666666666667	8.556666666666667	9.056666666666667	True	False	0.0	False
1162	Inventory	False	Destroy	1	6	0	ATK flat	22	ACC	5									365.0	6.0	5.0	Hero	3.9450000000000003	5.945	10.945	True	False	3.0	False
1163	Inventory	False	Destroy	1	6	0	ATK flat	22	CDmg	6					6.0					6.0		Rare	3.607142857142857	5.607142857142858	9.607142857142858	True	False	2.0	False
780	Inventory	False	Destroy	2	6	9	SPD	25		0	23.0	11.0	18.0									Hero	4.896428571428571	5.396428571428571	5.896428571428571	False	False	0.0	False
781	Inventory	False	Destroy	2	6	9	DEF%	38	SPD	6		11.0					40.0	6.0				Hero	5.321428571428571	5.821428571428571	6.321428571428571	False	False	0.0	True
782	Inventory	False	Destroy	2	6	6	SPD	19		0					12.0						10.0	Rare	3.166666666666667	4.166666666666667	5.166666666666667	False	False	0.0	False
1164	Inventory	False	Destroy	2	6	0	ATK%	11		0		4.0								6.0	4.0	Hero	3.238095238095238	5.238095238095238	10.238095238095237	False	False	3.0	False
1165	Inventory	False	Destroy	2	6	0	SPD	7		0			20.0	5.0								Rare	1.125	3.125	5.125	False	False	2.0	False
784	Inventory	False	Destroy	3	6	9	DEF flat	94	ACC	4	11.0							7.0		16.0		Hero	8.083333333333332	8.583333333333332	9.083333333333332	True	False	0.0	False
1166	Inventory	False	Destroy	3	6	0	DEF flat	22	HP flat	265								6.0		5.0		Rare	2.7700000000000005	4.7700000000000005	8.77	True	False	2.0	False
1167	Inventory	False	Destroy	3	6	0	DEF flat	22	CDmg	4						6.0			361.0	4.0	4.0	Legend	3.802761904761905	5.802761904761905	11.802761904761905	True	False	4.0	False
1168	Inventory	False	Destroy	3	6	0	DEF flat	22		0								6.0		6.0		Rare	2.75	4.75	8.75	True	False	2.0	False
1169	Inventory	False	Destroy	3	6	0	DEF flat	22	ACC	5	8.0									6.0		Rare	3.625	5.625	9.625	True	False	2.0	False
1170	Inventory	False	Destroy	3	6	0	DEF flat	22	HP%	8	6.0	4.0							346.0	6.0		Legend	4.782761904761904	6.782761904761904	12.782761904761905	True	False	4.0	False
1171	Inventory	False	Destroy	3	6	0	DEF flat	22	SPD	6		5.0							177.0		6.0	Hero	3.950285714285714	5.950285714285714	7.950285714285714	True	False	3.0	False
1172	Inventory	False	Destroy	3	6	0	DEF flat	22	ACC	4		6.0								6.0		Rare	3.357142857142857	5.357142857142858	9.357142857142858	True	False	2.0	False
1173	Inventory	False	Destroy	4	6	0	DEF%	11	HP%	8			13.0				12.0			6.0		Hero	3.625	5.625	10.625	False	False	3.0	False
1174	Inventory	False	Destroy	4	6	12	DEF%	47		0	15.0	13.0			14.0					8.0		Legend	8.148809523809524	8.148809523809524	8.148809523809524	False	False	0.0	False
786	Inventory	True	Destroy	5	6	9	HP flat	1440	ACC	8					20.0			8.0		11.0		Hero	8.166666666666666	8.666666666666666	9.166666666666666	True	False	0.0	False
787	Feng Yan	True	Destroy	5	6	9	HP flat	1440	CRate	4						10.0		10.0		20.0		Hero	9.833333333333334	10.333333333333334	10.833333333333334	True	False	0.0	False
1175	Inventory	False	Destroy	5	6	0	HP flat	360	RES	6		6.0								5.0		Rare	3.2738095238095237	5.273809523809524	9.273809523809524	True	False	2.0	False
1176	Inventory	False	Destroy	5	6	0	HP flat	360	DEF%	6							19.0			5.0		Rare	2.8916666666666666	4.891666666666667	8.891666666666666	True	False	2.0	False
1177	Inventory	False	Destroy	5	6	0	HP flat	360	SPD	6	4.0					8.0						Rare	3.5	5.5	7.5	True	False	2.0	False
1178	Inventory	False	Destroy	6	6	12	ATK%	47	DEF%	5		7.0		17.0				13.0		9.0		Legend	8.375	8.375	8.375	False	False	0.0	False
1179	Inventory	False	Destroy	6	6	0	DEF%	11		0	7.0						18.0			4.0		Hero	2.658333333333333	4.658333333333333	9.658333333333333	False	False	3.0	False
1180	Inventory	False	Destroy	6	6	0	ATK%	11		0				8.0				8.0		5.0		Hero	3.666666666666667	5.666666666666667	10.666666666666668	False	False	3.0	False
783	Inventory	True	Destroy	2	5	6	SPD	17		0					13.0	14.0						Rare	3.375	4.375	5.375	False	False	0.0	False
785	Chiwu	True	Destroy	4	5	9	HP%	29		0			26.0	5.0						13.0		Hero	5.6083333333333325	6.1083333333333325	6.6083333333333325	False	False	0.0	True
816	Inventory	False	Determination	1	6	12	ATK flat	118		0	5.0			8.0						19.0	4.0	Rare	8.625	8.625	8.625	True	False	0.0	False
822	Inventory	False	Determination	1	6	9	ATK flat	94		0		11.0			11.0					11.0		Hero	6.613095238095237	7.113095238095237	7.613095238095237	True	False	0.0	False
828	Inventory	False	Determination	1	6	12	ATK flat	118	HP flat	350	6.0			19.0	5.0					11.0		Hero	7.883333333333333	7.883333333333333	7.883333333333333	True	False	0.0	False
906	Inventory	False	Determination	1	6	6	ATK flat	70	CDmg	6				14.0						11.0		Rare	6.273809523809523	7.273809523809523	8.273809523809522	True	False	0.0	False
823	Inventory	False	Determination	2	6	15	DEF%	63	HP flat	350				8.0	5.0		73.0			14.0		Legend	8.583333333333334	8.583333333333334	8.583333333333334	False	False	0.0	False
829	Inventory	False	Determination	2	6	15	DEF%	63		0				13.0	7.0			12.0		9.0		Rare	7.0	7.0	7.0	False	False	0.0	False
818	Inventory	False	Determination	3	6	15	DEF flat	160		0						15.0			601.0	18.0	6.0	Hero	9.676333333333334	9.676333333333334	9.676333333333334	True	False	0.0	False
795	Inventory	False	Determination	4	6	6	CDmg	35	SPD	6				16.0	14.0							Rare	5.75	6.75	7.75	False	False	0.0	False
819	Inventory	False	Determination	4	6	15	DEF%	63		0				7.0	8.0			8.0		17.0		Hero	8.541666666666668	8.541666666666668	8.541666666666668	False	False	0.0	False
825	Inventory	False	Determination	4	6	15	DEF%	63	CRate	6	8.0	11.0	55.0							6.0		Hero	6.946428571428571	6.946428571428571	6.946428571428571	False	False	0.0	True
831	Inventory	False	Determination	4	6	15	DEF%	63	HP flat	194		7.0						19.0		10.0	6.0	Rare	7.9670000000000005	7.9670000000000005	7.9670000000000005	False	False	0.0	False
796	Velajuel	False	Determination	5	6	12	HP flat	1800		0				12.0	6.0			8.0		22.0		Legend	10.583333333333332	10.583333333333332	10.583333333333332	True	False	0.0	False
820	Inventory	False	Determination	5	6	12	HP flat	1800		0		10.0				23.0	46.0			18.0		Legend	11.45357142857143	11.45357142857143	11.45357142857143	True	False	0.0	False
832	Inventory	False	Determination	5	6	12	HP flat	1800		0	7.0					12.0	79.0				5.0	Hero	5.183333333333333	5.183333333333333	5.183333333333333	True	False	0.0	True
827	Inventory	False	Determination	6	6	15	DEF%	63		0			17.0	15.0					229.0	12.0		Rare	6.605333333333333	6.605333333333333	6.605333333333333	False	False	0.0	True
298	Inventory	False	Endure	1	6	9	ATK flat	94	HP%	5	10.0				8.0					16.0		Hero	8.208333333333332	8.708333333333332	9.208333333333332	True	False	0.0	False
299	Inventory	False	Endure	1	6	9	ATK flat	94	HP flat	345				13.0				8.0		17.0		Hero	8.751666666666669	9.251666666666669	9.751666666666669	True	False	0.0	False
300	Inventory	False	Endure	1	6	6	ATK flat	70	ACC	4	7.0									17.0		Rare	7.041666666666667	8.041666666666668	9.041666666666668	True	False	0.0	False
301	Inventory	False	Endure	1	6	9	ATK flat	94	CRate	6					13.0				256.0	16.0		Hero	8.299666666666667	8.799666666666667	9.299666666666667	True	False	0.0	False
302	Inventory	True	Endure	1	6	9	ATK flat	94	CDmg	6				17.0					618.0	13.0		Hero	8.13947619047619	8.63947619047619	9.13947619047619	True	False	0.0	False
303	Inventory	False	Endure	1	6	9	ATK flat	94		0									323.0	16.0	10.0	Hero	7.430666666666666	7.930666666666666	8.430666666666667	True	False	0.0	False
304	Inventory	False	Endure	1	6	9	ATK flat	94	CDmg	5	4.0			11.0						15.0		Hero	7.589285714285714	8.089285714285715	8.589285714285715	True	False	0.0	False
305	Inventory	False	Endure	1	6	12	ATK flat	118		0	7.0			4.0				12.0		18.0		Legend	8.875	8.875	8.875	True	False	0.0	False
993	Inventory	False	Endure	1	6	0	ATK flat	22	ATK%	7										5.0	5.0	Rare	3.375	5.375	9.375	True	False	2.0	False
994	Inventory	False	Endure	1	6	0	ATK flat	22	RES	7				5.0						5.0		Rare	3.166666666666667	5.166666666666667	9.166666666666668	True	False	2.0	False
306	Inventory	False	Endure	2	6	9	SPD	25	CRate	4	11.0			8.0	23.0							Hero	5.916666666666667	6.416666666666667	6.916666666666667	False	False	0.0	False
307	Inventory	False	Endure	2	6	9	SPD	25	HP%	5	12.0	18.0			5.0							Hero	5.321428571428571	5.821428571428571	6.321428571428571	False	False	0.0	False
308	Inventory	False	Endure	2	6	6	SPD	19		0			15.0					22.0				Rare	3.125	4.125	5.125	False	False	0.0	False
309	Inventory	False	Endure	2	6	9	SPD	25		0	14.0					8.0		13.0				Hero	4.375	4.875	5.375	False	False	0.0	False
311	Inventory	False	Endure	2	6	9	SPD	25	RES	6				14.0		8.0					13.0	Hero	5.666666666666666	6.166666666666666	6.666666666666666	False	False	0.0	False
312	Inventory	False	Endure	2	6	9	DEF%	38		0		10.0					34.0			12.0		Hero	6.2785714285714285	6.7785714285714285	7.2785714285714285	False	False	0.0	False
313	Inventory	False	Endure	2	6	9	SPD	25	HP flat	252			29.0			14.0		14.0				Hero	4.561	5.061	5.561	False	False	0.0	False
314	Inventory	False	Endure	2	6	12	HP%	47		0			35.0		5.0				420.0	17.0		Legend	7.726666666666667	7.726666666666667	7.726666666666667	False	False	0.0	False
315	Inventory	False	Endure	2	6	6	SPD	19		0				17.0			16.0					Rare	2.525	3.525	4.525	False	False	0.0	False
316	Inventory	False	Endure	2	6	9	DEF%	38	CDmg	5			30.0							11.0	10.0	Hero	6.7976190476190474	7.2976190476190474	7.7976190476190474	False	False	0.0	False
317	Inventory	False	Endure	2	6	6	SPD	19		0								8.0			15.0	Rare	3.5	4.5	5.5	False	False	0.0	False
995	Inventory	False	Endure	2	6	0	SPD	7		0	6.0		10.0									Rare	1.0	3.0	5.0	False	False	2.0	False
996	Inventory	False	Endure	2	6	0	SPD	7		0			14.0			6.0						Rare	1.1	3.1	5.1	False	False	2.0	False
997	Inventory	False	Endure	2	6	0	SPD	7	CDmg	5	5.0								367.0			Rare	1.8286190476190476	3.8286190476190476	5.828619047619048	False	False	2.0	False
998	Inventory	False	Endure	2	6	0	SPD	7		0		4.0			7.0							Rare	1.4464285714285714	3.446428571428571	5.446428571428571	False	False	2.0	False
999	Inventory	False	Endure	2	6	0	SPD	7	DEF flat	19						8.0					6.0	Rare	2.475	4.475	6.475	False	False	2.0	False
318	Inventory	True	Endure	3	6	9	DEF flat	94		0								7.0		21.0	7.0	Hero	9.041666666666666	9.541666666666666	10.041666666666666	True	False	0.0	False
319	Inventory	False	Endure	3	6	9	DEF flat	94	CRate	4	15.0			15.0						12.0		Hero	8.416666666666666	8.916666666666666	9.416666666666666	True	False	0.0	False
320	Inventory	False	Endure	3	6	6	DEF flat	70	CDmg	7										15.0	4.0	Rare	6.666666666666667	7.666666666666667	8.666666666666668	True	False	0.0	False
321	Inventory	False	Endure	3	6	6	DEF flat	70	HP flat	212	7.0									16.0		Rare	6.491	7.491	8.491	True	False	0.0	False
322	Inventory	False	Endure	3	6	9	DEF flat	94		0		4.0						13.0		16.0		Hero	7.529761904761904	8.029761904761905	8.529761904761905	True	False	0.0	False
323	Inventory	False	Endure	3	6	12	DEF flat	118	HP%	5		20.0		6.0		7.0				16.0		Legend	10.44047619047619	10.44047619047619	10.44047619047619	True	False	0.0	False
1000	Inventory	False	Endure	3	6	0	DEF flat	22	ACC	5	8.0	6.0								4.0		Hero	3.8154761904761902	5.81547619047619	10.81547619047619	True	False	3.0	False
1001	Inventory	False	Endure	3	6	0	DEF flat	22	ACC	4									164.0	5.0		Rare	2.3853333333333335	4.3853333333333335	8.385333333333334	True	False	2.0	False
1002	Inventory	False	Endure	3	6	0	DEF flat	22	HP flat	330						6.0				4.0		Rare	2.523333333333333	4.523333333333333	8.523333333333333	True	False	2.0	False
324	Inventory	True	Endure	4	6	9	DEF%	38	CRate	6		7.0					32.0			14.0		Hero	7.466666666666667	7.966666666666667	8.466666666666667	False	False	0.0	False
